"[tag, prev_tag]",Counts
"['<s>', 'NNP']",543
"['NNP', 'RB']",82
"['RB', 'JJ']",127
"['JJ', 'NN']",2115
"['NN', 'VBZ']",424
"['VBZ', 'RB']",125
"['RB', 'DT']",85
"['DT', 'NN']",3209
"['NN', 'POS']",214
"['POS', 'JJ']",108
"['NN', '.']",883
"['.', '.']",2244
"['.', '</s>']",2218
"['<s>', 'NNS']",82
"['NNS', 'IN']",1140
"['IN', 'NNS']",356
"['IN', 'NNP']",1583
"['NNP', 'NNP']",2840
"['NNP', 'WP']",38
"['WP', 'VBD']",44
"['VBD', 'VBG']",83
"['VBG', '$']",15
"['$', '$']",387
"['$', 'CD']",391
"['CD', 'TO']",57
"['TO', '$']",21
"['CD', 'DT']",44
"['NN', 'VBD']",612
"['VBD', 'VBN']",204
"['VBN', 'WRB']",12
"['WRB', 'DT']",80
"['VBD', 'IN']",261
"['NNP', 'CC']",340
"['CC', 'DT']",222
"['DT', 'NNS']",271
"['NNS', 'VBD']",254
"['VBD', 'TO']",143
"['TO', 'NNP']",105
"['NNP', '.']",416
"['<s>', 'DT']",632
"['DT', 'MD']",9
"['MD', 'VB']",702
"['VB', 'JJ']",110
"['NN', 'IN']",3105
"['CC', 'CD']",37
"['CD', 'JJ']",119
"['JJ', 'NNS']",691
"['NNS', 'WP']",43
"['WP', 'IN']",2
"['NNP', 'VBD']",610
"['VBD', 'PRP$']",43
"['PRP$', 'NNS']",98
"['IN', 'DT']",2633
"['DT', 'NNP']",665
"['NNP', 'NN']",741
"['NN', 'VBN']",136
"['VBN', 'IN']",529
"['NNP', 'DT']",268
"['<s>', 'IN']",305
"['NNP', 'IN']",425
"['NN', 'NN']",1975
"['VBZ', 'JJ']",70
"['JJ', 'RB']",26
"['RB', 'TO']",61
"['TO', 'VB']",987
"['VB', 'JJR']",11
"['JJR', 'IN']",60
"['IN', 'PDT']",5
"['PDT', 'DT']",17
"['DT', 'JJ']",1439
"['POS', 'NN']",261
"['NN', 'DT']",210
"['VBD', '.']",157
"['NNP', 'VBZ']",212
"['IN', 'NN']",817
"['IN', 'VBG']",214
"['VBG', 'DT']",243
"['IN', 'JJ']",460
"['NN', 'NNS']",794
"['VBG', 'RP']",30
"['RP', 'NNS']",12
"['IN', 'RBR']",3
"['RBR', 'JJ']",55
"['NNS', '.']",409
"['VBZ', 'VBN']",247
"['NN', 'CC']",636
"['CC', 'IN']",71
"['NNS', 'WDT']",77
"['WDT', 'VBD']",77
"['VBD', 'JJR']",23
"['<s>', 'PRP']",191
"['PRP', 'VBP']",147
"['VBP', 'RB']",77
"['RB', 'VBG']",65
"['VBG', 'PRP$']",36
"['NNS', 'TO']",184
"['VB', 'RP']",53
"['RP', 'TO']",15
"['TO', 'DT']",172
"['CC', 'VB']",74
"['VB', 'DT']",556
"['VBD', 'NNP']",167
"['WP', 'VBZ']",39
"['VBZ', 'DT']",259
"['CC', 'NN']",302
"['<s>', 'VBN']",13
"['VBN', 'TO']",181
"['VB', 'PRP']",46
"['PRP', 'DT']",18
"['VBZ', 'CD']",35
"['CD', 'NNS']",521
"['NNS', 'VBP']",242
"['VBP', 'IN']",72
"['NN', 'RB']",250
"['RB', 'IN']",268
"['NN', 'WDT']",173
"['WDT', 'VBZ']",151
"['CD', 'NN']",433
"['NN', 'JJ']",104
"['IN', '$']",68
"['CD', 'CC']",60
"['CC', '$']",15
"['NN', 'WRB']",73
"['WRB', 'NNS']",22
"['VB', '$']",42
"['VBN', 'DT']",109
"['NN', 'TO']",375
"['VB', 'WRB']",17
"['WRB', 'CD']",6
"['NNS', 'RB']",128
"['RB', 'PRP']",40
"['PRP', 'RB']",69
"['RB', 'VBD']",112
"['PRP', 'VBD']",383
"['VBD', 'DT']",386
"['VBG', 'TO']",83
"['VB', 'IN']",217
"['IN', 'CD']",489
"['<s>', 'PRP$']",17
"['PRP$', 'JJ']",160
"['IN', 'WP']",30
"['VBD', 'WRB']",18
"['DT', 'VBN']",50
"['VBN', 'NN']",84
"['VBD', 'RB']",114
"['RB', 'VB']",163
"['VB', ':']",5
"[':', 'NNS']",26
"['NNS', 'VBN']",81
"['VBN', 'VBZ']",5
"['VBN', 'CC']",17
"['VBD', 'PRP']",230
"['PRP', 'MD']",244
"['MD', 'RB']",107
"['RB', ':']",7
"[':', 'VBD']",11
"['VBN', 'RP']",43
"['RP', 'IN']",56
"['CC', 'VBN']",18
"['PRP', 'VBZ']",195
"['<s>', 'RB']",108
"['RB', 'NNP']",35
"['DT', 'CD']",131
"['IN', 'WRB']",11
"['WRB', 'PRP']",64
"['VBG', 'VBD']",6
"['NN', ':']",95
"[':', ':']",69
"[':', 'IN']",29
"['RB', 'VBP']",41
"['VBP', 'VBG']",50
"['VBG', 'IN']",157
"['VBP', 'VBN']",125
"['VBN', 'VBN']",52
"['VB', 'NN']",165
"['<s>', 'EX']",11
"['EX', 'VBP']",13
"['RB', 'NN']",26
"['NN', 'NNP']",316
"['CC', 'NNP']",223
"['NNP', 'NNPS']",97
"['NNPS', 'NNP']",45
"['VBP', 'DT']",69
"['NN', 'MD']",255
"['NNP', 'JJ']",129
"['VBD', 'CD']",82
"['NN', 'PRP$']",12
"['PRP$', 'JJS']",12
"['JJS', 'NN']",53
"['NNP', 'CD']",188
"['CD', '.']",98
"['VBZ', 'TO']",100
"['NNP', 'PRP']",29
"['VBZ', 'VBG']",125
"['CD', 'NNP']",131
"['NNP', 'NNS']",134
"['NN', 'CD']",48
"['NNP', 'WRB']",35
"['JJ', 'TO']",79
"['JJ', 'VBD']",5
"['<s>', 'JJ']",52
"['VBD', 'JJ']",103
"['NNP', 'VBP']",23
"['NNP', 'POS']",354
"['POS', 'NNP']",109
"['NNP', 'WDT']",84
"['NNS', 'NN']",133
"['NNS', 'CC']",306
"['CC', 'JJ']",160
"['IN', 'IN']",121
"['VBG', 'CD']",24
"['NNS', 'DT']",123
"['IN', 'PRP$']",286
"['NNS', 'VBG']",96
"['VBG', 'RB']",30
"['RB', '.']",66
"['CD', 'IN']",223
"['VBG', 'NNS']",106
"['NNP', 'TO']",112
"['JJ', 'JJ']",307
"['JJ', 'IN']",161
"['TO', 'NN']",51
"['<s>', 'VBG']",30
"['NNP', 'VBN']",20
"['JJ', 'NNP']",196
"['RB', 'VBZ']",88
"['VBZ', 'NN']",48
"['VB', '.']",38
"['NNP', ':']",141
"[':', 'NNP']",119
"['MD', 'VBD']",2
"['CD', 'CD']",505
"['WDT', 'MD']",65
"['VB', 'NNP']",82
"['<s>', 'NN']",50
"['CC', 'MD']",35
"['VB', 'VBN']",189
"[':', 'CD']",20
"['POS', 'JJS']",23
"['NNS', 'MD']",78
"['IN', 'PRP']",220
"['IN', 'JJS']",14
"['JJS', 'NNP']",2
"['VB', 'TO']",61
"['DT', '$']",150
"['NN', 'VBG']",172
"['NN', 'PRP']",125
"['IN', 'RB']",73
"['RB', 'CD']",42
"['NNS', 'JJ']",55
"['VB', 'CD']",92
"['NNS', '$']",15
"['CD', 'VBD']",18
"['JJ', 'CD']",49
"['<s>', 'CC']",75
"['VB', 'PRP$']",116
"['PRP$', 'NN']",272
"['TO', 'CD']",97
"['<s>', 'CD']",22
"['NN', 'VBP']",44
"['WP', 'RB']",8
"['PRP$', 'NNP']",64
"['WRB', 'RB']",8
"['CC', 'WRB']",23
"['WRB', 'NNP']",30
"[':', 'NN']",15
"['JJ', '$']",32
"['NNP', 'MD']",96
"['RB', 'VBN']",150
"['TO', 'PRP$']",22
"['PRP$', 'VBN']",1
"['VBN', 'NNP']",45
"['NNS', 'NNS']",57
"['IN', 'JJR']",24
"['JJR', 'NN']",60
"['CD', 'VBZ']",16
"['VBP', ':']",3
"[':', 'DT']",72
"['DT', 'RB']",63
"['DT', '.']",2
"['IN', 'WDT']",26
"['WDT', 'DT']",6
"['VBN', '.']",48
"['VBZ', 'IN']",128
"['CC', 'VBD']",77
"['NNP', 'VBG']",37
"['NNPS', 'POS']",3
"['RP', 'RB']",6
"['JJS', 'IN']",40
"['VB', 'PDT']",5
"['JJ', 'VBN']",8
"['NN', 'VB']",12
"['PRP', 'NN']",9
"['VBG', 'VB']",1
"['VBD', '$']",4
"['CC', 'NNS']",116
"['VB', 'VBG']",40
"['VBG', 'NN']",149
"['DT', 'JJS']",62
"['JJS', 'JJ']",19
"['VBZ', 'JJR']",8
"['DT', 'VBG']",50
"['VBG', 'JJ']",64
"['VBD', 'NN']",69
"['PRP$', 'DT']",1
"['RP', 'CC']",1
"['VBG', '.']",14
"['VBN', 'VBG']",28
"['VBG', 'NNP']",30
"['CC', 'VBZ']",56
"['NNS', 'VBZ']",45
"['VBZ', 'PRP$']",10
"['VBP', 'NNP']",13
"['POS', 'NNS']",61
"['<s>', 'WRB']",16
"['VBZ', 'RP']",7
"['RP', 'DT']",34
"['VBD', 'RP']",53
"['WRB', 'NN']",9
"['RB', 'RBR']",5
"['RBR', 'IN']",12
"['NN', 'JJR']",6
"['JJR', 'TO']",9
"['TO', 'VBG']",11
"['VBZ', 'NNP']",30
"['VBG', 'VBN']",48
"['DT', 'VBZ']",21
"['NNS', 'RBR']",11
"['VB', 'RB']",38
"['VBN', 'NNS']",42
"['NNS', 'NNP']",77
"['RB', 'RB']",89
"['VBN', 'PRP']",14
"['VB', 'CC']",15
"['CD', ':']",36
"['NNS', 'PRP']",41
"['VBN', 'CD']",35
"['JJ', 'CC']",90
"['VBN', 'JJ']",55
"['VBG', 'CC']",12
"['CC', 'VBG']",41
"['VBG', 'PRP']",33
"['PRP', 'IN']",53
"['CD', 'WDT']",7
"['RB', 'NNS']",19
"['TO', 'RB']",16
"['VBP', '.']",16
"['WDT', 'RB']",13
"['VBP', 'CD']",9
"['DT', 'IN']",43
"[':', 'WDT']",4
"['CC', 'RB']",64
"['WP', 'PRP']",25
"['VBD', 'NNS']",75
