"[word, tag]",Probability
"['<s>', 'Brainpower']",7.449899426357744e-06
"['Brainpower', 'NNP']",1.6162086331400348e-06
"['not', 'RB']",9.182567813263301e-06
"['physical', 'JJ']",3.5474453072619753e-06
"['plant', 'NN']",1.26798317132735e-06
"['is', 'VBZ']",1.1233809272386174e-05
"['now', 'RB']",9.182567813263301e-06
"['a', 'DT']",2.3088716082676073e-06
"['firm', 'NN']",1.26798317132735e-06
"[""'s"", 'POS']",2.2265268407810657e-05
"['chief', 'JJ']",3.5474453072619753e-06
"['asset', 'NN']",1.26798317132735e-06
"['.', '.']",3.6085971217829355e-06
"['.', '</s>']",7.449899426357744e-06
"['<s>', 'Hundreds']",7.449899426357744e-06
"['Hundreds', 'NNS']",3.6322031127980677e-06
"['of', 'IN']",1.8416138430429355e-06
"['sewers', 'NNS']",3.6322031127980677e-06
"['at', 'IN']",1.8416138430429355e-06
"['Arrow', 'NNP']",1.6162086331400348e-06
"['Shirt', 'NNP']",1.6162086331400348e-06
"['Co.', 'NNP']",1.6162086331400348e-06
"['who', 'WP']",8.107669855683477e-05
"['were', 'VBD']",6.4348822094811555e-06
"['making', 'VBG']",1.2690355329949238e-05
"['$', '$']",1.6819726174857872e-05
"['5', 'CD']",5.489287655140993e-06
"['to', 'TO']",8.688776707127404e-06
"['7.50', 'CD']",5.489287655140993e-06
"['an', 'DT']",2.3088716082676073e-06
"['hour', 'NN']",1.26798317132735e-06
"['dismissed', 'VBN']",1.0112348188372822e-05
"['when', 'WRB']",5.616715344866322e-05
"['the', 'DT']",2.3088716082676073e-06
"['closed', 'VBD']",6.4348822094811555e-06
"['in', 'IN']",1.8416138430429355e-06
"['October', 'NNP']",1.6162086331400348e-06
"['and', 'CC']",8.276227364518158e-06
"['jobs', 'NNS']",3.6322031127980677e-06
"['moved', 'VBD']",6.4348822094811555e-06
"['Latin', 'NNP']",1.6162086331400348e-06
"['America', 'NNP']",1.6162086331400348e-06
"['<s>', 'That']",7.449899426357744e-06
"['That', 'DT']",2.3088716082676073e-06
"['may', 'MD']",1.7452006980802792e-05
"['be', 'VB']",6.837373081262179e-06
"['cold', 'JJ']",3.5474453072619753e-06
"['comfort', 'NN']",1.26798317132735e-06
"['for', 'IN']",1.8416138430429355e-06
"['POSTaggedTrainingSet-Unix.txtBelle', 'NNP']",1.6162086331400348e-06
"['McFall', 'NNP']",1.6162086331400348e-06
"['350', 'CD']",5.489287655140993e-06
"['other', 'JJ']",3.5474453072619753e-06
"['workers', 'NNS']",3.6322031127980677e-06
"['lost', 'VBD']",6.4348822094811555e-06
"['their', 'PRP$']",2.237136465324385e-05
"['Cedartown', 'NNP']",1.6162086331400348e-06
"['owned', 'VBN']",1.0112348188372822e-05
"['by', 'IN']",1.8416138430429355e-06
"['unit', 'NN']",1.26798317132735e-06
"['Bidermann', 'NNP']",1.6162086331400348e-06
"['International', 'NNP']",1.6162086331400348e-06
"['<s>', 'In']",7.449899426357744e-06
"['In', 'IN']",1.8416138430429355e-06
"['Tijuana', 'NNP']",1.6162086331400348e-06
"['across', 'IN']",1.8416138430429355e-06
"['border', 'NN']",1.26798317132735e-06
"['from', 'IN']",1.8416138430429355e-06
"['San', 'NNP']",1.6162086331400348e-06
"['Diego', 'NNP']",1.6162086331400348e-06
"['wastewater', 'NN']",1.26798317132735e-06
"['treatment', 'NN']",1.26798317132735e-06
"['large', 'JJ']",3.5474453072619753e-06
"['enough', 'RB']",9.182567813263301e-06
"['treat', 'VB']",6.837373081262179e-06
"['less', 'JJR']",7.053678493334273e-05
"['than', 'IN']",1.8416138430429355e-06
"['half', 'PDT']",0.0007727975270479134
"['Mexican', 'JJ']",3.5474453072619753e-06
"['city', 'NN']",1.26798317132735e-06
"['waste', 'NN']",1.26798317132735e-06
"['report', 'NN']",1.26798317132735e-06
"['said', 'VBD']",6.4348822094811555e-06
"['<s>', 'Fire']",7.449899426357744e-06
"['Fire', 'NNP']",1.6162086331400348e-06
"['insures', 'VBZ']",1.1233809272386174e-05
"['biological', 'JJ']",3.5474453072619753e-06
"['diversity', 'NN']",1.26798317132735e-06
"['instance', 'NN']",1.26798317132735e-06
"['keeping', 'VBG']",1.2690355329949238e-05
"['handful', 'NN']",1.26798317132735e-06
"['aggressive', 'JJ']",3.5474453072619753e-06
"['species', 'NNS']",3.6322031127980677e-06
"['crowding', 'VBG']",1.2690355329949238e-05
"['out', 'RP']",7.357268981753973e-05
"['scores', 'NNS']",3.6322031127980677e-06
"['less', 'RBR']",0.00012212994626282364
"['ones', 'NNS']",3.6322031127980677e-06
"['<s>', 'Pruett']",7.449899426357744e-06
"['Pruett', 'NNP']",1.6162086331400348e-06
"['has', 'VBZ']",1.1233809272386174e-05
"['worked', 'VBN']",1.0112348188372822e-05
"['as', 'IN']",1.8416138430429355e-06
"['church', 'NN']",1.26798317132735e-06
"['custodian', 'NN']",1.26798317132735e-06
"['cinder-block', 'JJ']",3.5474453072619753e-06
"['that', 'WDT']",3.5379444542720676e-05
"['better', 'JJR']",7.053678493334273e-05
"['alternative', 'NN']",1.26798317132735e-06
"['<s>', '``']",7.449899426357744e-06
"['I', 'PRP']",1.2178784557301181e-05
"[""'m"", 'VBP']",2.2072131726482144e-05
"['already', 'RB']",9.182567813263301e-06
"['telling', 'VBG']",1.2690355329949238e-05
"['my', 'PRP$']",2.237136465324385e-05
"['kids', 'NNS']",3.6322031127980677e-06
"['go', 'VB']",6.837373081262179e-06
"['start', 'VB']",6.837373081262179e-06
"['new', 'JJ']",3.5474453072619753e-06
