"[word, tag]",Counts
"['<s>', 'Brainpower']",1
"['Brainpower', 'NNP']",1
"['not', 'RB']",1
"['physical', 'JJ']",1
"['plant', 'NN']",1
"['is', 'VBZ']",1
"['now', 'RB']",1
"['a', 'DT']",1
"['firm', 'NN']",1
"[""'s"", 'POS']",1
"['chief', 'JJ']",1
"['asset', 'NN']",1
"['.', '.']",1
"['.', '</s>']",1
"['<s>', 'Hundreds']",1
"['Hundreds', 'NNS']",1
"['of', 'IN']",1
"['sewers', 'NNS']",1
"['at', 'IN']",1
"['Arrow', 'NNP']",1
"['Shirt', 'NNP']",1
"['Co.', 'NNP']",1
"['who', 'WP']",1
"['were', 'VBD']",1
"['making', 'VBG']",1
"['$', '$']",1
"['5', 'CD']",1
"['to', 'TO']",1
"['7.50', 'CD']",1
"['an', 'DT']",1
"['hour', 'NN']",1
"['dismissed', 'VBN']",1
"['when', 'WRB']",1
"['the', 'DT']",1
"['closed', 'VBD']",1
"['in', 'IN']",1
"['October', 'NNP']",1
"['and', 'CC']",1
"['jobs', 'NNS']",1
"['moved', 'VBD']",1
"['Latin', 'NNP']",1
"['America', 'NNP']",1
"['<s>', 'That']",1
"['That', 'DT']",1
"['may', 'MD']",1
"['be', 'VB']",1
"['cold', 'JJ']",1
"['comfort', 'NN']",1
"['for', 'IN']",1
"['/Users/ananyabanerjee/Desktop/courses/Spring', '2020/NLP/hw3/NLP6320']",1
"['2020/NLP/hw3/NLP6320', 'POSTaggedTrainingSet-Unix.txtBelle']",1
"['POSTaggedTrainingSet-Unix.txtBelle', 'NNP']",1
"['McFall', 'NNP']",1
"['350', 'CD']",1
"['other', 'JJ']",1
"['workers', 'NNS']",1
"['lost', 'VBD']",1
"['their', 'PRP$']",1
"['Cedartown', 'NNP']",1
"['owned', 'VBN']",1
"['by', 'IN']",1
"['unit', 'NN']",1
"['Bidermann', 'NNP']",1
"['International', 'NNP']",1
"['<s>', 'In']",1
"['In', 'IN']",1
"['Tijuana', 'NNP']",1
"['across', 'IN']",1
"['border', 'NN']",1
"['from', 'IN']",1
"['San', 'NNP']",1
"['Diego', 'NNP']",1
"['wastewater', 'NN']",1
"['treatment', 'NN']",1
"['large', 'JJ']",1
"['enough', 'RB']",1
"['treat', 'VB']",1
"['less', 'JJR']",1
"['than', 'IN']",1
"['half', 'PDT']",1
"['Mexican', 'JJ']",1
"['city', 'NN']",1
"['waste', 'NN']",1
"['report', 'NN']",1
"['said', 'VBD']",1
"['<s>', 'Fire']",1
"['Fire', 'NNP']",1
"['insures', 'VBZ']",1
"['biological', 'JJ']",1
"['diversity', 'NN']",1
"['instance', 'NN']",1
"['keeping', 'VBG']",1
"['handful', 'NN']",1
"['aggressive', 'JJ']",1
"['species', 'NNS']",1
"['crowding', 'VBG']",1
"['out', 'RP']",1
"['scores', 'NNS']",1
"['less', 'RBR']",1
"['ones', 'NNS']",1
"['<s>', 'Pruett']",1
"['Pruett', 'NNP']",1
"['has', 'VBZ']",1
"['worked', 'VBN']",1
"['as', 'IN']",1
"['church', 'NN']",1
"['custodian', 'NN']",1
"['cinder-block', 'JJ']",1
"['that', 'WDT']",1
"['better', 'JJR']",1
"['alternative', 'NN']",1
"['<s>', '``']",1
"['``', '``']",1
"['``', 'I']",1
"['I', 'PRP']",1
"[""'m"", 'VBP']",1
"['already', 'RB']",1
"['telling', 'VBG']",1
"['my', 'PRP$']",1
"['kids', 'NNS']",1
"['go', 'VB']",1
"['start', 'VB']",1
"['new', 'JJ']",1
"['business', 'NN']",1
"[""''"", ""''""]",1
"[""''"", 'said']",1
"['Mitsuhiro', 'NNP']",1
"['Onishi', 'NNP']",1
"['runs', 'VBZ']",1
"['flower', 'NN']",1
"['distribution', 'NN']",1
"['<s>', 'Named']",1
"['Named', 'VBN']",1
"['poisonous', 'JJ']",1
"['Socrates', 'VBZ']",1
"['used', 'VBN']",1
"['kill', 'VB']",1
"['himself', 'PRP']",1
"['nationwide', 'JJ']",1
"['group', 'NN']",1
"['advocates', 'VBZ']",1
"['assisted-suicide', 'JJ']",1
"['rights', 'NNS']",1
"['<s>', 'Mickey']",1
"['Mickey', 'NNP']",1
"['Parker', 'NNP']",1
"['production', 'NN']",1
"['manager', 'NN']",1
"['says', 'VBZ']",1
"['3,000', 'CD']",1
"['putters', 'NNS']",1
"['are', 'VBP']",1
"['process', 'NN']",1
"['daily', 'RB']",1
"['which', 'WDT']",1
"['produces', 'VBZ']",1
"['12,000', 'CD']",1
"['Fat', 'NN']",1
"['Lady', 'JJ']",1
"['models', 'NNS']",1
"['per', 'IN']",1
"['month', 'NN']",1
"['<s>', 'The']",1
"['The', 'DT']",1
"['immigrants', 'NNS']",1
"['work', 'VBP']",1
"['or', 'CC']",1
"['6', 'CD']",1
"['pork', 'NN']",1
"['processing', 'NN']",1
"['where', 'WRB']",1
"['wages', 'NNS']",1
"['used', 'VBD']",1
"['run', 'VB']",1
"['12', 'CD']",1
"['13', 'CD']",1
"['<s>', 'A']",1
"['A', 'DT']",1
"['local', 'JJ']",1
"['woman', 'NN']",1
"['had', 'VBD']",1
"['called', 'VBN']",1
"['paper', 'NN']",1
"['report', 'VB']",1
"['how', 'WRB']",1
"['40', 'CD']",1
"['years', 'NNS']",1
"['earlier', 'RB']",1
"['her', 'PRP']",1
"['grandfather', 'RB']",1
"['brought', 'VBN']",1
"['60-year-old', 'JJ']",1
"['century', 'NN']",1
"['home', 'NN']",1
